type,latitude,longitude,altitude (m),name
T,12.918160000,77.641632000,878.4,GPS data
T,12.918192265,77.641657388,878.3,
T,12.918224531,77.641682776,878.3,
T,12.918256796,77.641708163,878.3,
T,12.918289061,77.641733551,878.3,
T,12.918321327,77.641758939,878.2,
T,12.918353592,77.641784327,878.2,
T,12.918385857,77.641809714,878.2,
T,12.918418122,77.641835102,878.2,
T,12.918450388,77.641860490,878.2,
T,12.918482653,77.641885878,878.2,
T,12.918514918,77.641911265,878.2,
T,12.918547184,77.641936653,878.1,
T,12.918579449,77.641962041,878.1,
T,12.918611714,77.641987429,878.1,
T,12.918643980,77.642012816,878.1,
T,12.918676245,77.642038204,878.1,
T,12.918708510,77.642063592,878.1,
T,12.918740776,77.642088980,878.0,
T,12.918773041,77.642114367,878.0,
T,12.918805306,77.642139755,878.0,
T,12.918837571,77.642165143,878.0,
T,12.918869837,77.642190531,878.0,
T,12.918902102,77.642215918,878.0,
T,12.918934367,77.642241306,877.9,
T,12.918966633,77.642266694,877.9,
T,12.918998898,77.642292082,877.9,
T,12.919031163,77.642317469,877.9,
T,12.919063429,77.642342857,877.9,
T,12.919095694,77.642368245,877.9,
T,12.919127959,77.642393633,877.8,
T,12.919160224,77.642419020,877.8,
T,12.919192490,77.642444408,877.9,
T,12.919224755,77.642469796,877.9,
T,12.919257020,77.642495184,878.0,
T,12.919289286,77.642520571,878.1,
T,12.919321551,77.642545959,878.2,
T,12.919353816,77.642571347,878.3,
T,12.919386082,77.642596735,878.4,
T,12.919418347,77.642622122,878.5,
T,12.919450612,77.642647510,878.5,
T,12.919482878,77.642672898,878.6,
T,12.919515143,77.642698286,878.7,
T,12.919547408,77.642723673,878.7,
T,12.919579673,77.642749061,878.8,
T,12.919611939,77.642774449,878.8,
T,12.919644204,77.642799837,878.8,
T,12.919676469,77.642825224,878.8,
T,12.919708735,77.642850612,878.9,
T,12.919741000,77.642876000,878.9,
T,12.918148250,77.641650750,878.5,
T,12.918180704,77.641676163,878.4,
T,12.918213158,77.641701577,878.4,
T,12.918245612,77.641726990,878.3,
T,12.918278066,77.641752403,878.3,
T,12.918310520,77.641777816,878.3,
T,12.918342974,77.641803230,878.3,
T,12.918375429,77.641828643,878.3,
T,12.918407883,77.641854056,878.3,
T,12.918440337,77.641879469,878.3,
T,12.918472791,77.641904883,878.2,
T,12.918505245,77.641930296,878.2,
T,12.918537699,77.641955709,878.2,
T,12.918570153,77.641981122,878.2,
T,12.918602607,77.642006536,878.2,
T,12.918635061,77.642031949,878.2,
T,12.918667515,77.642057362,878.1,
T,12.918699969,77.642082776,878.1,
T,12.918732423,77.642108189,878.1,
T,12.918764878,77.642133602,878.1,
T,12.918797332,77.642159015,878.1,
T,12.918829786,77.642184429,878.1,
T,12.918862240,77.642209842,878.0,
T,12.918894694,77.642235255,878.0,
T,12.918927148,77.642260668,878.0,
T,12.918959602,77.642286082,878.0,
T,12.918992056,77.642311495,878.0,
T,12.919024510,77.642336908,878.0,
T,12.919056964,77.642362321,877.9,
T,12.919089418,77.642387735,877.9,
T,12.919121872,77.642413148,877.9,
T,12.919154327,77.642438561,877.9,
T,12.919186781,77.642463974,877.9,
T,12.919219235,77.642489388,878.0,
T,12.919251689,77.642514801,878.1,
T,12.919284143,77.642540214,878.2,
T,12.919316597,77.642565628,878.3,
T,12.919349051,77.642591041,878.4,
T,12.919381505,77.642616454,878.5,
T,12.919413959,77.642641867,878.5,
T,12.919446413,77.642667281,878.6,
T,12.919478867,77.642692694,878.7,
T,12.919511321,77.642718107,878.7,
T,12.919543776,77.642743520,878.8,
T,12.919576230,77.642768934,878.8,
T,12.919608684,77.642794347,878.9,
T,12.919641138,77.642819760,878.9,
T,12.919673592,77.642845173,878.9,
T,12.919706046,77.642870587,878.9,
T,12.919738500,77.642896000,878.9,
T,12.918136500,77.641669500,878.5,
T,12.918169143,77.641694939,878.4,
T,12.918201786,77.641720378,878.4,
T,12.918234429,77.641745816,878.4,
T,12.918267071,77.641771255,878.4,
T,12.918299714,77.641796694,878.4,
T,12.918332357,77.641822133,878.4,
T,12.918365000,77.641847571,878.4,
T,12.918397643,77.641873010,878.3,
T,12.918430286,77.641898449,878.3,
T,12.918462929,77.641923888,878.3,
T,12.918495571,77.641949327,878.3,
T,12.918528214,77.641974765,878.3,
T,12.918560857,77.642000204,878.3,
T,12.918593500,77.642025643,878.2,
T,12.918626143,77.642051082,878.2,
T,12.918658786,77.642076520,878.2,
T,12.918691429,77.642101959,878.2,
T,12.918724071,77.642127398,878.2,
T,12.918756714,77.642152837,878.2,
T,12.918789357,77.642178276,878.1,
T,12.918822000,77.642203714,878.1,
T,12.918854643,77.642229153,878.1,
T,12.918887286,77.642254592,878.1,
T,12.918919929,77.642280031,878.1,
T,12.918952571,77.642305469,878.0,
T,12.918985214,77.642330908,878.0,
T,12.919017857,77.642356347,878.0,
T,12.919050500,77.642381786,878.0,
T,12.919083143,77.642407224,878.0,
T,12.919115786,77.642432663,878.0,
T,12.919148429,77.642458102,877.9,
T,12.919181071,77.642483541,878.0,
T,12.919213714,77.642508980,878.0,
T,12.919246357,77.642534418,878.2,
T,12.919279000,77.642559857,878.3,
T,12.919311643,77.642585296,878.4,
T,12.919344286,77.642610735,878.4,
T,12.919376929,77.642636173,878.5,
T,12.919409571,77.642661612,878.6,
T,12.919442214,77.642687051,878.7,
T,12.919474857,77.642712490,878.7,
T,12.919507500,77.642737929,878.8,
T,12.919540143,77.642763367,878.8,
T,12.919572786,77.642788806,878.9,
T,12.919605429,77.642814245,878.9,
T,12.919638071,77.642839684,878.9,
T,12.919670714,77.642865122,879.0,
T,12.919703357,77.642890561,879.0,
T,12.919736000,77.642916000,879.0,
T,12.918124750,77.641688250,878.5,
T,12.918157582,77.641713714,878.5,
T,12.918190413,77.641739179,878.5,
T,12.918223245,77.641764643,878.5,
T,12.918256077,77.641790107,878.5,
T,12.918288908,77.641815571,878.4,
T,12.918321740,77.641841036,878.4,
T,12.918354571,77.641866500,878.4,
T,12.918387403,77.641891964,878.4,
T,12.918420235,77.641917429,878.4,
T,12.918453066,77.641942893,878.4,
T,12.918485898,77.641968357,878.4,
T,12.918518730,77.641993821,878.3,
T,12.918551561,77.642019286,878.3,
T,12.918584393,77.642044750,878.3,
T,12.918617224,77.642070214,878.3,
T,12.918650056,77.642095679,878.3,
T,12.918682888,77.642121143,878.3,
T,12.918715719,77.642146607,878.2,
T,12.918748551,77.642172071,878.2,
T,12.918781383,77.642197536,878.2,
T,12.918814214,77.642223000,878.2,
T,12.918847046,77.642248464,878.2,
T,12.918879878,77.642273929,878.1,
T,12.918912709,77.642299393,878.1,
T,12.918945541,77.642324857,878.1,
T,12.918978372,77.642350321,878.1,
T,12.919011204,77.642375786,878.1,
T,12.919044036,77.642401250,878.1,
T,12.919076867,77.642426714,878.0,
T,12.919109699,77.642452179,878.0,
T,12.919142531,77.642477643,878.0,
T,12.919175362,77.642503107,878.0,
T,12.919208194,77.642528571,878.1,
T,12.919241026,77.642554036,878.2,
T,12.919273857,77.642579500,878.3,
T,12.919306689,77.642604964,878.4,
T,12.919339520,77.642630429,878.5,
T,12.919372352,77.642655893,878.6,
T,12.919405184,77.642681357,878.7,
T,12.919438015,77.642706821,878.8,
T,12.919470847,77.642732286,878.8,
T,12.919503679,77.642757750,878.9,
T,12.919536510,77.642783214,878.9,
T,12.919569342,77.642808679,878.9,
T,12.919602173,77.642834143,879.0,
T,12.919635005,77.642859607,879.0,
T,12.919667837,77.642885071,879.0,
T,12.919700668,77.642910536,879.0,
T,12.919733500,77.642936000,879.0,
T,12.918113000,77.641707000,878.6,
T,12.918146020,77.641732490,878.6,
T,12.918179041,77.641757980,878.5,
T,12.918212061,77.641783469,878.5,
T,12.918245082,77.641808959,878.5,
T,12.918278102,77.641834449,878.5,
T,12.918311122,77.641859939,878.5,
T,12.918344143,77.641885429,878.5,
T,12.918377163,77.641910918,878.5,
T,12.918410184,77.641936408,878.5,
T,12.918443204,77.641961898,878.4,
T,12.918476224,77.641987388,878.4,
T,12.918509245,77.642012878,878.4,
T,12.918542265,77.642038367,878.4,
T,12.918575286,77.642063857,878.4,
T,12.918608306,77.642089347,878.4,
T,12.918641327,77.642114837,878.3,
T,12.918674347,77.642140327,878.3,
T,12.918707367,77.642165816,878.3,
T,12.918740388,77.642191306,878.3,
T,12.918773408,77.642216796,878.3,
T,12.918806429,77.642242286,878.2,
T,12.918839449,77.642267776,878.2,
T,12.918872469,77.642293265,878.2,
T,12.918905490,77.642318755,878.2,
T,12.918938510,77.642344245,878.2,
T,12.918971531,77.642369735,878.2,
T,12.919004551,77.642395224,878.1,
T,12.919037571,77.642420714,878.1,
T,12.919070592,77.642446204,878.1,
T,12.919103612,77.642471694,878.1,
T,12.919136633,77.642497184,878.1,
T,12.919169653,77.642522673,878.1,
T,12.919202673,77.642548163,878.2,
T,12.919235694,77.642573653,878.3,
T,12.919268714,77.642599143,878.4,
T,12.919301735,77.642624633,878.5,
T,12.919334755,77.642650122,878.6,
T,12.919367776,77.642675612,878.7,
T,12.919400796,77.642701102,878.8,
T,12.919433816,77.642726592,878.8,
T,12.919466837,77.642752082,878.9,
T,12.919499857,77.642777571,878.9,
T,12.919532878,77.642803061,879.0,
T,12.919565898,77.642828551,879.0,
T,12.919598918,77.642854041,879.0,
T,12.919631939,77.642879531,879.1,
T,12.919664959,77.642905020,879.1,
T,12.919697980,77.642930510,879.1,
T,12.919731000,77.642956000,879.1,
